Name,About,Affiliate,Affiliate Program,Category,NotionStack URL,Pricing,Profile,Tags,Title,Twitter,Website
Actions,A Simple Call-to-Action widget-maker for your Notion Pages,,,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Freemium,Notion%20Tools/actions_profile.jpeg,"Embed, Surveys",# Actions: Boost Engagement with Customizable Call-to-Action Widgets,,https://www.actions.so/
Widgetbox,WidgetBox lets you create custom embeddable Notion Widgets that suit your template style.,,None,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Freemium,Notion%20Tools/box_widget_profile.png,"Buttons, Clock, Reactions",# WidgetBox: Create Custom Notion Widgets with Ease,,https://widgetbox.app/
"NotionForms: Create, Publish & Sync Forms in Notion",,https://notionforms.io/?via=notionstack,Approved,Forms (https://www.notion.so/Forms-70212723337c417d9004a13ca1e2762e?pvs=21),,Freemium,Notion%20Tools/notion_forms_profile.jpeg,Embed,"NotionForms: Create, Publish & Sync Forms in Notion",,
Vizion,Create and share custom Notion database views,,,,,,,Publish,# Vizion: Transform your Notion database in seconds,,https://vizion.so/
Indify,Level up your Notion docs with widgets,,,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Free,Notion%20Tools/indify_profile.jpeg,,# Indify: Boost Your Notion Docs with Widgets in Seconds,,https://indify.co/
Help Kit: Turn Your Notion Docs into a Knowledge Base,,,None,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),https://notionstack.so/tools/help-kit,Paid,Notion%20Tools/helpkit_profile.png,"Documentation, Help Center",# Help Kit: Create a Self-Service Knowledge Base in Minutes,,
Notion backups,Easily back up and restore your Notion workspaces,,None,Utility (https://www.notion.so/Utility-1cc316cac8dd4b29a8ad13d8c68f6ce8?pvs=21),,Paid,Notion%20Tools/backup_profile.png,Backup,# Notion Backups: Secure your workspaces with ease,,https://notionbackups.com/
Notion Boost,Make Notion more productive and less distractive. Notion Boost is a lightweight extension to add extra features and tweaks to Notion,,,Productivity (https://www.notion.so/Productivity-a826603c12ec4c5db40e34133b03f3c4?pvs=21),,Free,Notion%20Tools/notion_boost_profile.jpeg,"Extension, Productivity",# Notion Boost: Supercharge your productivity,,
Chilipepper: Basic Notion Form Builder,,https://chilipepper.io/?ref=notionstack,None,Forms (https://www.notion.so/Forms-70212723337c417d9004a13ca1e2762e?pvs=21),,Freemium,Notion%20Tools/chilipepper_profile.png,Forms,Chilipepper: Streamline Your Data Collection in Notion,,
Notion Automations,Connect Notion with your App such a Notion calendar widget,https://notion-automations.firstpromoter.com/,,Productivity (https://www.notion.so/Productivity-a826603c12ec4c5db40e34133b03f3c4?pvs=21),,Free,Notion%20Tools/notion_automations_profile.png,Calendar,# Notion Automations: Automate Your Notion Tasks with Ease,,https://notion-automations.com/
Save to Notion,Save links to your Notion databases,,,Productivity (https://www.notion.so/Productivity-a826603c12ec4c5db40e34133b03f3c4?pvs=21),,Free,Notion%20Tools/save_to_notion_profile.jpeg,"Extension, Productivity",# Save to Notion: Save links to your databases effortlessly,,https://chrome.google.com/webstore/detail/save-to-notion/ldmmifpegigmeammaeckplhnjbbpccmm
Super: Turn Notion Pages into Websites,,https://super.so?via=notionstack,Approved,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),,Freemium,Notion%20Tools/super_profile.jpeg,Website,"Super: Create a Stunning Website in Seconds
Super's intuitive drag-and-drop interface and customizable templates make it easy to create a beautiful website without any coding skills.",https://twitter.com/super_,
Feather: The Best Blogging Platform Powered by Notion,,,Approved,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),,Paid,Notion%20Tools/feather_profile.jpeg,Blog,# Feather: Effortlessly create SEO-friendly blogs in Notion,https://twitter.com/feather_blogs,
Potion: Build Notion Websites With NoCode,,https://potion.so/?via=notionstack,Approved,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),https://notionstack.so/tools/potion,Paid,Notion%20Tools/potion_profile.jpeg,Website,Potion: Create Custom Websites in Minutes,https://twitter.com/potion_so,
Notionlytics,"Notion widgets to help you see who views your Notion pages, when they do it, and more.",,None,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Freemium,Notion%20Tools/notionlytics_profile.jpeg,Analytics,# Notionlytics: Track your Notion page views and more with ease!,https://twitter.com/notionlytics,https://notionlytics.com/
NotionHero,"Extend Notion with Charts, Embeds, Forms, Widgets, Custom Buttons and Sites. Everything in one tool—all in one place.",,None,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Freemium,Notion%20Tools/notionherio_profile.png,"Buttons, Charts, Forms",# NotionHero: Supercharge Your Notion Pages,,https://notionhero.io/
Pro Backup,"Get daily, automated probackup of your Notion pages, comments and files.",,,Utility (https://www.notion.so/Utility-1cc316cac8dd4b29a8ad13d8c68f6ce8?pvs=21),,Paid,Notion%20Tools/pro_backup_profile.jpeg,Backup,# Pro Backup: Never lose your Notion work again,,https://probackup.io/
Simple Ink: Free Notion Website & Form Builder,,,None,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),https://notionstack.so/tools/simpleink,Freemium,Notion%20Tools/simple_ink_profile.png,"Blog, Publish, Website",Simple.ink: Build a stunning website in minutes,,
blocs,Blocs notion widgets help you build habits with amazing insights to understand yourself better. Track all your habits in one place !,,None,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Freemium,Notion%20Tools/blocs_profile.png,"Charts, Habits",# Blocs: Build habits with amazing insights,,https://www.blocs.me/
SavetoNotion,Save your favorite Tweets and Threads to your Notion Workspace!,,,Utility (https://www.notion.so/Utility-1cc316cac8dd4b29a8ad13d8c68f6ce8?pvs=21),,Freemium,Notion%20Tools/savetonotion_profile.jpeg,Twitter,# SaveToNotion: Save Your Favorite Tweets and Threads Effortlessly,https://twitter.com/SaveToNotion,https://savetonotion.com/
Tally: The Best Notion Form Builder,,https://tally.so?ref=notionstack,Approved,Forms (https://www.notion.so/Forms-70212723337c417d9004a13ca1e2762e?pvs=21),,Freemium,Notion%20Tools/tallyforms_profile.png,"Embed, Forms, Surveys",# Tally: Create Forms in Seconds,,
the:gist,The easiest way to automate your Notion workflows,,None,Productivity (https://www.notion.so/Productivity-a826603c12ec4c5db40e34133b03f3c4?pvs=21),,Freemium,Notion%20Tools/thegist.svg,,# the:gist: Automate Your Workflows with Ease,,https://www.thegist.so/
Queue: Schedule tweets & threads without leaving Notion,Create and schedule threads within Notion,,None,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),,Freemium,Notion%20Tools/Queue_profile.png,Publish,# Queue: Schedule tweets & threads without leaving Notion,https://twitter.com/queue_so,https://www.queue.so/
Butn,Call-To-Action Button Generator for Notion,,None,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Free,Notion%20Tools/butn_profile.png,Buttons,"# Butn: Create stunning, clickable buttons in seconds",,https://butn.one/
Fruition,"Free, Open Source Toolkit for Building Websites with Notion",,,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),,Free,Notion%20Tools/fruition_profile.png,Publish,# Fruition: Build Websites with Notion in Minutes,,https://fruitionsite.com/
NotionApps,"NotionApps allows you to build mobile apps from Notion data without coding. Share apps with a web link, public or private. Try it now!",,None,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),,Freemium,Notion%20Tools/notionapps_logo.png,Mobile,# NotionApps: Build Mobile Apps from Notion Data without Coding,,https://www.notionapps.com/
Tools Template,,,,,,,,,# Product Name: Increase Your Productivity by 50%,,
Bullet: Turn Notion Pages into SEO-Optimized Websites,,,Approved,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),https://notionstack.so/tools/bullet,Paid,Notion%20Tools/bullet_so_logo.jpeg,"Blog, Documentation, Help Center, Website","Bullet: Turn Notion pages into fast, SEO optimized websites",,
Notaku: Build Stunning Notion Websites Without No-Code,,https://notaku.so?via=notionstack,Approved,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),https://notionstack.so/tools/notaku,,Notion%20Tools/notaku_profile.jpeg,"Blog, Documentation, Help Center, Website",Notaku: Build Stunning Websites Without Coding,,
"Fillout: Create, Embed & Sync Notion Forms with Ease",,https://www.fillout.com/?ref=notionstack,Approved,Forms (https://www.notion.so/Forms-70212723337c417d9004a13ca1e2762e?pvs=21),,Freemium,Notion%20Tools/fillout_profile.jpeg,Forms,Fillout: Create and Sync Notion Forms with Ease,,